SERIALNUMBER,PRODUCTCODE,License Description,VERSION,TYPE
585526-3,12-10192TP,InTouch for TSE Development 64 Tag Upgd,9.5,Paper
585577-3,12-10175T,InTouch for TSE Development 60K Tag Upgd,10.0,CD
585920-6,12-10200T,InTouch for TSE Development 60K Tag Upgd,10.0,CD
631966-2,12-10175T,InTouch for TSE Development 60K Tag Upgd,10.0,CD
633985-5,12-10175T,InTouch for TSE Development 60K Tag Upgd,10.0,CD
928275-3,12-10175T,InTouch for TSE Development 60K Tag Upgd,10.0,CD
585564-4,12-10131T,InTouch Runtime for TSE 60K Tag with I/O Upgd,10.0,CD
585565-4,12-120066TP,InTouch Runtime for TSE 60K Tag without I/O Upgd,10.0,Paper
585566-4,12-120066TP,InTouch Runtime for TSE 60K Tag without I/O Upgd,10.0,Paper
585567-4,12-120066TP,InTouch Runtime for TSE 60K Tag without I/O Upgd,10.0,Paper
585568-4,12-120066TP,InTouch Runtime for TSE 60K Tag without I/O Upgd,10.0,Paper
585569-4,12-120066TP,InTouch Runtime for TSE 60K Tag without I/O Upgd,10.0,Paper
585570-4,12-10066TP,InTouch Runtime for TSE 60K Tag without I/O,10.0,Paper
585571-4,12-10066TP,InTouch Runtime for TSE 60K Tag without I/O,10.0,Paper
585572-4,12-10066TP,InTouch Runtime for TSE 60K Tag without I/O,10.0,Paper
585573-4,12-10066TP,InTouch Runtime for TSE 60K Tag without I/O,10.0,Paper
585574-4,12-10066TP,InTouch Runtime for TSE 60K Tag without I/O,10.0,Paper
585575-4,12-10066TP,InTouch Runtime for TSE 60K Tag without I/O,10.0,Paper
585576-4,12-10066TP,InTouch Runtime for TSE 60K Tag without I/O,10.0,Paper
588523-2,12-10066TP,InTouch Runtime for TSE 60K Tag without I/O,10.0,Paper
588524-3,12-10135TP,InTouch Runtime for TSE 60K Tag without I/O,10.0,Paper
588525-3,12-10135TP,InTouch Runtime for TSE 60K Tag without I/O,10.0,Paper
588752-6,12-10066TP,InTouch Runtime for TSE 60K Tag without I/O,10.0,CD
588753-4,12-10066TP,InTouch Runtime for TSE 60K Tag without I/O,10.0,Paper
588754-4,12-10066TP,InTouch Runtime for TSE 60K Tag without I/O,10.0,Paper
588875-5,12-10131T,InTouch Runtime for TSE 60K Tag with I/O Upgd,10.0,CD
605984-3,12-10131T,InTouch Runtime for TSE 60K Tag with I/O Upgd,10.0,CD
605985-3,12-10131TP,InTouch Runtime for TSE 60K Tag with I/O Upgd,10.0,Floppy/Paper
605986-3,12-10131TP,InTouch Runtime for TSE 60K Tag with I/O Upgd,10.0,Floppy/Paper
605987-3,12-10131TP,InTouch Runtime for TSE 60K Tag with I/O Upgd,10.0,Floppy/Paper
605988-3,12-10131TP,InTouch Runtime for TSE 60K Tag with I/O Upgd,10.0,Floppy/Paper
605989-3,12-10131TP,InTouch Runtime for TSE 60K Tag with I/O Upgd,10.0,Floppy/Paper
631967-4,12-10066TP,InTouch Runtime for TSE 60K Tag without I/O,10.0,Paper
633986-1,12-10066TP,InTouch Runtime for TSE 60K Tag without I/O,10.0,Paper
633987-1,12-10066TP,InTouch Runtime for TSE 60K Tag without I/O,10.0,Paper
633988-1,12-10066TP,InTouch Runtime for TSE 60K Tag without I/O,10.0,Paper
633989-1,12-10066TP,InTouch Runtime for TSE 60K Tag without I/O,10.0,Paper
633990-1,12-10066TP,InTouch Runtime for TSE 60K Tag without I/O,10.0,Paper
742472-3,12-10131TP,InTouch Runtime for TSE 60K Tag with I/O Upgd,10.0,Floppy/Paper
742473-3,12-10131TP,InTouch Runtime for TSE 60K Tag with I/O Upgd,10.0,Floppy/Paper
742474-3,12-10131TP,InTouch Runtime for TSE 60K Tag with I/O Upgd,10.0,Floppy/Paper
742475-3,12-10131TP,InTouch Runtime for TSE 60K Tag with I/O Upgd,10.0,Floppy/Paper
742476-3,12-10131TP,InTouch Runtime for TSE 60K Tag with I/O Upgd,10.0,Floppy/Paper
742477-3,12-10131TP,InTouch Runtime for TSE 60K Tag with I/O Upgd,10.0,Floppy/Paper
766098-2,12-10134T,InTouch Runtime for TSE 3K Tag without I/O,10.0,CD/Paper
766099-2,12-10133TP,InTouch Runtime for TSE 1K Tag without I/O,10.0,CD/Paper
802544-1,12-10066TP,InTouch Runtime for TSE 60K Tag without I/O,10.0,Paper
888366-2,12-10134T,InTouch Runtime for TSE 3K Tag without I/O,10.0,CD
928210-1,01-2161TP,InTouch Runtime for TSE 3K Tag without I/O,10.0,CD [9.5]/Paper [10.0]
928211-1,01-2161TP,InTouch Runtime for TSE 3K Tag without I/O,10.0,Paper
928212-1,01-2161TP,InTouch Runtime for TSE 3K Tag without I/O,10.0,Paper
928213-1,01-2161TP,InTouch Runtime for TSE 3K Tag without I/O,10.0,Paper
928214-1,01-2161TP,InTouch Runtime for TSE 3K Tag without I/O,10.0,Paper
928215-1,01-2161TP,InTouch Runtime for TSE 3K Tag without I/O,10.0,Paper
928276-2,01-2158TP,InTouch Runtime for TSE 60K Tag with I/O,10.0,CD [9.5]/Paper [10.0]
928599-2,01-2158TP,InTouch Runtime for TSE 60K Tag with I/O,10.0,CD [9.5]/Paper [10.0]
928600-2,01-2158TP,InTouch Runtime for TSE 60K Tag with I/O,10.0,CD [9.5]/Paper [10.0]
938083-2,12-10134T,InTouch Runtime for TSE 3K Tag without I/O,10.0,CD
1056654-0,12-10131T,InTouch Runtime for TSE 60K Tag with I/O Upgd      [Formally s/n : 539086-3],10.0,CD
1056655-0,12-10131T,InTouch Runtime for TSE 60K Tag with I/O Upgd      [Formally s/n : 581106-4],10.0,CD
1056656-0,12-10131T,InTouch Runtime for TSE 60K Tag with I/O Upgd      [Formally s/n : 581107-4],10.0,CD
1329138-0,01-2224TP,InTouch Runtime for TSE 3K Tag without I/O,10.0,Paper
1056603-0,01-2225TF,InTouch Runtime for TSE 60K Tag with I/O - Failover,10.0,CD
1056604-0,01-2226TPF,InTouch Runtime for TSE 60K Tag without I/O - Failover,10.0,Paper
1056605-0,01-2226TPF,InTouch Runtime for TSE 60K Tag without I/O - Failover,10.0,Paper
1056606-0,01-2226TPF,InTouch Runtime for TSE 60K Tag without I/O - Failover,10.0,Paper
1056607-0,01-2226TPF,InTouch Runtime for TSE 60K Tag without I/O - Failover,10.0,Paper
1056608-0,01-2226TPF,InTouch Runtime for TSE 60K Tag without I/O - Failover,10.0,Paper
1056609-0,01-2226TPF,InTouch Runtime for TSE 60K Tag without I/O - Failover,10.0,Paper
1056610-0,01-2226TPF,InTouch Runtime for TSE 60K Tag without I/O - Failover,10.0,Paper
1056611-0,01-2226TPF,InTouch Runtime for TSE 60K Tag without I/O - Failover,10.0,Paper
1056612-0,01-2226TPF,InTouch Runtime for TSE 60K Tag without I/O - Failover,10.0,Paper
1056613-0,01-2226TPF,InTouch Runtime for TSE 60K Tag without I/O - Failover,10.0,Paper
1056614-0,01-2226TPF,InTouch Runtime for TSE 60K Tag without I/O - Failover,10.0,Paper
1056615-0,01-2226TPF,InTouch Runtime for TSE 60K Tag without I/O - Failover,10.0,Paper
1056616-0,01-2226TPF,InTouch Runtime for TSE 60K Tag without I/O - Failover,10.0,Paper
1056617-0,01-2226TPF,InTouch Runtime for TSE 60K Tag without I/O - Failover,10.0,Paper
1056618-0,01-2226TPF,InTouch Runtime for TSE 60K Tag without I/O - Failover,10.0,Paper
1056619-0,01-2225TF,InTouch Runtime for TSE 60K Tag with I/O - Failover,10.0,CD
1056620-0,01-2225TF,InTouch Runtime for TSE 60K Tag with I/O - Failover,10.0,CD
1056621-0,01-2225TF,InTouch Runtime for TSE 60K Tag with I/O - Failover,10.0,CD
1056622-0,01-2225TF,InTouch Runtime for TSE 60K Tag with I/O - Failover,10.0,CD
1056623-0,01-2225TF,InTouch Runtime for TSE 60K Tag with I/O - Failover,10.0,CD
1056624-0,01-2225TF,InTouch Runtime for TSE 60K Tag with I/O - Failover,10.0,CD
1056625-0,01-2225TF,InTouch Runtime for TSE 60K Tag with I/O - Failover,10.0,CD
1056626-0,01-2225TF,InTouch Runtime for TSE 60K Tag with I/O - Failover,10.0,CD
1056627-0,01-2225TF,InTouch Runtime for TSE 60K Tag with I/O - Failover,10.0,CD
1056628-0,01-2225TF,InTouch Runtime for TSE 60K Tag with I/O - Failover,10.0,CD
1056629-0,01-2225TPF,InTouch Runtime for TSE 60K Tag with I/O - Failover,10.0,Paper
1056630-0,01-2225TPF,InTouch Runtime for TSE 60K Tag with I/O - Failover,10.0,Paper
1056631-0,01-2225TPF,InTouch Runtime for TSE 60K Tag with I/O - Failover,10.0,Paper
1056632-0,01-2225TPF,InTouch Runtime for TSE 60K Tag with I/O - Failover,10.0,Paper
1056633-0,01-2225TPF,InTouch Runtime for TSE 60K Tag with I/O - Failover,10.0,Paper
1056634-0,01-2225TPF,InTouch Runtime for TSE 60K Tag with I/O - Failover,10.0,Paper
1056635-0,01-2225TPF,InTouch Runtime for TSE 60K Tag with I/O - Failover,10.0,Paper
1056636-0,01-2225TPF,InTouch Runtime for TSE 60K Tag with I/O - Failover,10.0,Paper
1056637-0,01-2225TPF,InTouch Runtime for TSE 60K Tag with I/O - Failover,10.0,Paper
1056638-0,01-2226TPF,InTouch Runtime for TSE 60K Tag without I/O - Failover,10.0,Paper
1056639-1,01-2226TPF,InTouch Runtime for TSE 60K Tag without I/O - Failover,10.0,CD
1056640-0,01-2226TPF,InTouch Runtime for TSE 60K Tag without I/O - Failover,10.0,Paper
1056641-0,01-2226TPF,InTouch Runtime for TSE 60K Tag without I/O - Failover,10.0,Paper
1056642-0,01-2226TPF,InTouch Runtime for TSE 60K Tag without I/O - Failover,10.0,Paper
1056643-0,01-2226TPF,InTouch Runtime for TSE 60K Tag without I/O - Failover,10.0,Paper
1056644-0,01-2226TPF,InTouch Runtime for TSE 60K Tag without I/O - Failover,10.0,Paper
1056645-0,01-2226TPF,InTouch Runtime for TSE 60K Tag without I/O - Failover,10.0,Paper
1056646-0,01-2224TF,InTouch Runtime for TSE 3K Tag without I/O - Failover,10.0,CD
1056647-0,01-2224TPF,InTouch Runtime for TSE 3K Tag without I/O - Failover,10.0,Paper
1056648-0,01-2224TPF,InTouch Runtime for TSE 3K Tag without I/O - Failover,10.0,Paper
1056649-0,01-2224TPF,InTouch Runtime for TSE 3K Tag without I/O - Failover,10.0,Paper
1056650-0,01-2224TPF,InTouch Runtime for TSE 3K Tag without I/O - Failover,10.0,Paper
1056651-0,01-2224TPF,InTouch Runtime for TSE 3K Tag without I/O - Failover,10.0,Paper
1056652-0,01-2224TPF,InTouch Runtime for TSE 3K Tag without I/O - Failover,10.0,Paper
1056653-0,01-2222TF,InTouch Runtime for TSE 1K Tag without I/O - Failover,10.0,CD
1108699-0,01-2226TPF,InTouch Runtime for TSE 60K Tag without I/O - Failover,10.0,Paper
1108700-0,01-2226TPF,InTouch Runtime for TSE 60K Tag without I/O - Failover,10.0,Paper
1108701-0,01-2224TF,InTouch Runtime for TSE 3K Tag without I/O - Failover,10.0,CD
1108702-0,01-2224TF,InTouch Runtime for TSE 3K Tag without I/O - Failover,10.0,CD
1329139-0,01-2224TPF,InTouch Runtime for TSE 3K Tag without I/O - Failover,10.0,Paper
605976-2,12-6280,InBatch Premier Edition - Large,8.1,Floppy
605977-4,62-0075,InBatch Premier Edition - Medium,8.1,CD
757710-0,62-0083T/TP,InBatch Premier Terminal Services Client,8.1,Floppy
757711-0,62-0083T/TP,InBatch Premier Terminal Services Client,8.1,Floppy
757712-0,62-0083T/TP,InBatch Premier Terminal Services Client,8.1,Floppy
757713-0,62-0083T/TP,InBatch Premier Terminal Services Client,8.1,Floppy
